,city,temperature,humidity,clouds,wind_speed,lat,lon
188,ronneby,33.8,100,90,2.6,56.28217744019949,15.345883973875516
189,vila velha,78.44,100,8,0.16,-27.51366803166509,-24.2681137901736
190,tsihombe,37.62,97,20,8.41,-54.405160859860054,49.64202179721411
191,vaitupu,83.35,100,0,4.76,-1.6742376411322226,-175.19606773612185
192,mandalgovi,28.22,44,12,7.61,43.96350575219,104.6504834045262
193,abu dhabi,85.51,34,0,5.46,22.343602714599996,52.86089748653566
194,pacific grove,59.5,99,48,4.81,34.07092053669247,-126.4557534614244
195,ugoofaaru,82.4,100,12,4.46,6.097853983653593,68.49843037075837
196,vanavara,-10.88,52,48,3.61,61.97968059233284,102.23052808925922
197,bridlington,42.98,100,56,12.31,55.86806817015341,2.0683998691541774
198,boende,75.88,96,92,1.31,-1.2372151681754815,19.84310909275169
199,meulaboh,84.07,99,8,7.01,-2.247049237749252,91.78436334157863
200,the valley,72.95,100,0,5.91,24.99499758727808,-61.14785994041378
201,bambous virieux,68.68,98,0,8.06,-35.69513962796452,76.84129339031983
202,nabire,80.87,100,92,12.66,-5.543843319091408,136.77799695729857
203,adrar,54.46,30,0,1.31,26.610577865586222,-3.7437607064855456
204,grand river south east,80.65,100,56,5.56,-19.7293459602472,71.76487897552644
205,ambilobe,82.27,100,56,5.26,-9.01300690187648,49.95527874545073
206,sentyabrskiy,33.35,100,20,9.96,42.202347422731776,153.73953873760541
207,celestun,68.5,100,80,5.26,21.65383151305747,-91.41708734980952
208,meadow lake,1.18,59,36,4.71,55.03883561811091,-107.0959489540929
209,tsaratanana,72.32,100,92,1.76,-16.88009556645062,47.35113183387239
210,leningradskiy,-21.95,65,12,10.46,87.64396436919853,177.8388265331095
211,faanui,80.6,99,0,3.71,0.9543173049831211,-159.1728476946259
212,katsuura,58.78,100,80,12.31,32.29388749776892,142.4889914064031
213,genhe,3.7,65,12,2.51,51.03752775526027,121.41230026873353
214,hays,36.73,85,64,6.91,39.71462258812994,-99.110932675152
215,zachagansk,12.52,92,44,6.91,50.300336659817845,51.91517295478303
216,broome,91.4,59,24,3.1,-16.916437001397995,123.49094087617073
217,comodoro rivadavia,58.96,89,0,11.61,-48.80650194992722,-62.99777773395827
218,laguna,67.19,96,88,6.11,-38.5103732003685,-36.12964064516643
219,soyo,77.5,100,20,4.56,-8.343860530634132,6.117860973888838
220,inhambane,78.98,100,64,8.81,-25.396001463558164,38.54477571964023
221,deh rawud,49.78,39,0,1.36,32.178462656586134,65.58241991636373
222,narsaq,-21.82,100,0,6.61,81.57131040689754,-61.923759717717886
223,zhangjiakou,26.11,26,8,1.81,40.72002191846721,114.27037303446059
224,machhlishahr,69.8,49,0,4.1,25.655752587755586,82.43260443311436
225,harper,79.52,100,68,2.51,-1.0991057887991644,-8.335051028114265
226,santa cruz de rosales,34.12,47,0,1.36,28.345740804697485,-105.69040328802069
227,ust-kan,-7.15,64,8,1.31,50.36902607643242,84.83832752442402
228,male,82.22,100,0,3.01,4.333630626190583,73.06500491024349
229,emilio carranza,70.88,100,0,3.46,20.169233310159655,-95.48325875397539
230,tabiauea,81.28,100,88,5.01,-2.9882325747182534,169.79595556279855
231,san andres,79.07,100,0,3.86,12.131976639392377,-80.29354950778863
232,sinnamary,72.01,100,80,3.66,20.167563731327817,-43.184116957827
233,ponta do sol,65.17,100,44,8.16,32.28032766799754,-21.923793770028936
234,kahului,65.17,100,56,14.91,28.474101711978534,-152.014793999029
235,morgan city,49.89,44,1,4.1,29.105252864721123,-91.52809744346615
236,sal,45.5,93,75,3.6,32.5548723708544,36.066747118348445
237,ostersund,12.2,85,40,2.1,63.664098879915144,14.355894743724662
238,nantucket,50.32,100,92,1.26,39.45290851832905,-66.87986069927966
239,honiara,82.45,100,88,6.81,-12.172977674071959,159.45627673638688
240,buzmeyin,71.6,84,75,2.1,38.355512636820066,58.250668374820094
241,saint george,72.55,100,48,5.61,26.495682063151207,-59.70679788580401
242,marawi,77.05,20,0,6.86,18.137113259845535,31.415981767172326
243,mount pleasant,1.69,71,90,3.6,43.592068516077546,-85.0588554382866
244,nome,31.26,86,90,6.2,67.89707110596689,-163.1563458298187
245,bauta,64.4,88,40,5.7,23.47763622820844,-82.52872564334018
246,chulman,-14.26,75,44,1.01,57.57267588189421,125.33235763783767
247,yanan,34.3,21,88,2.06,36.69857296423059,107.86429490534988
248,kousseri,73.4,13,8,5.7,12.056173577521719,15.40897599623625
249,lompoc,69.85,97,20,5.71,23.867176848077307,-132.12841025675755
250,alyangula,82.27,100,88,3.31,-14.823389169575066,140.83104131899125
251,port lincoln,67.37,99,0,7.91,-36.75918958130544,134.39872686489707
252,san borja,69.53,100,88,1.06,-15.599550654499993,-66.17725026071908
253,haines junction,1.62,87,32,1.01,61.20152602849009,-137.67641664233213
254,toliary,78.12,100,0,9.51,-25.1146931160646,40.15308230166502
255,koygorodok,14.18,79,88,4.21,60.21205317811612,51.425597593200735
256,yabelo,87.98,23,0,4.91,4.907371607123807,37.64523281984765
257,bathsheba,73.81,100,76,6.36,19.000662677894866,-51.50261795336675
258,gat,56.8,27,0,2.56,27.86714158096146,8.222100215179694
259,kulhudhuffushi,81.91,100,0,3.91,6.919926580126514,71.5780156823715
260,porto belo,82.45,97,0,6.16,-27.212515112845914,-47.63216569551821
261,codajas,74.97,96,36,1.66,-2.4575256393846274,-62.12574049825771
262,araouane,61.21,30,0,1.31,20.606283356659674,-4.029354034643774
263,malaryta,24.8,85,32,5.0,51.70040726463989,23.993979824454442
264,la palma,78.67,100,68,3.91,4.176245664011432,-82.00084910227363
265,samusu,81.01,100,32,2.66,-0.2012154695769226,-163.5262252811851
266,ewa beach,78.17,100,8,5.96,10.380037625511463,-162.30472653130124
267,leo,79.43,18,0,3.71,11.060888690861816,-2.2062715717455035
268,caxias,70.97,98,80,1.21,-4.729933883612702,-43.480858290147296
269,nuuk,25.02,100,68,10.36,62.364345449611335,-52.7347582440907
270,kihei,62.96,67,1,10.3,20.21053817412509,-156.68469260931488
271,kruisfontein,39.61,89,92,13.21,-51.24324896062683,25.75325711835569
272,camacha,55.9,100,80,5.51,40.85986069522846,-17.10132740899465
273,nyurba,-21.73,62,64,1.71,64.12529312651085,118.27884357781187
274,praya,79.88,100,88,6.01,-12.469207987877297,116.97822817672284
275,yar-sale,-15.43,70,0,0.26,75.39964447315373,69.11778970450982
276,esperance,94.64,11,0,3.66,-28.440678445886398,123.93089944487764
277,moree,97.34,22,0,3.86,-29.289596721626005,146.0697154924444
278,alofi,74.97,100,76,7.51,-27.84608345417694,-167.5731716634078
279,hilo,80.11,100,80,6.66,3.8584275421978163,-161.75129591799663
280,leshukonskoye,10.22,80,64,3.56,65.23866775483333,46.545538643258766
281,kovylkino,20.12,90,92,6.31,54.2259944177263,44.15316524532696
282,nikolsk,15.8,78,92,1.66,59.591552307136084,44.69128111122376
283,saint anthony,1.4,84,90,1.0,52.15681725114115,-56.697409455444685
284,sambava,81.46,100,32,7.96,-12.089221170549877,55.306049799310216
285,deputatskiy,-50.8,0,8,1.21,68.6446955648205,138.25540785407765
286,vestmanna,30.2,100,20,6.91,69.3223477207087,-8.05776088733927
287,kualakapuas,84.7,98,88,2.41,-3.667578691289094,113.87893681332957
288,nkhotakota,71.92,100,92,1.51,-12.767490984440656,34.55179910780515
289,evensk,-17.45,73,68,1.71,63.28156865548243,161.9567288375162
290,maykain,-9.13,85,8,2.06,50.71841590357528,76.64862523149952
291,campos gerais,65.12,97,0,3.26,-21.121515318975597,-45.90761005216967
